branch	branch_descendants	Outgroup	DWX	DW	JJL	KM	TBS	PWX	MP	JJ	MPX	KY	XR	PW	LFS	LVS	KYS	XRD	BWL	KUM	LV	TB	LF
b2	DWX,JJL,TBS,LFS,LVS,KYS,XRD,PWX,MPX,BWL,KUM	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	DW,KM,MP,JJ,XR,PW,KY,LV,TB,LF	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	JJL,TBS,LFS,LVS,KYS,XRD,PWX,MPX,BWL,KUM	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b5	DWX	nan	nan	0.263784	nan	0.199998	nan	nan	0.210796	0.198624	nan	0.242595	0.183035	0.120664	nan	nan	nan	nan	nan	nan	0.225941	0.222356	0.21966
b6	KM,MP,JJ,XR,PW,KY,LV,TB,LF	nan	0	nan	0	nan	0	0	nan	nan	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
b7	DW	nan	0.100008	nan	0	nan	0	0	nan	nan	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
b8	TBS,LFS,LVS,KYS,XRD,PWX,MPX,BWL,KUM	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b9	JJL	nan	nan	0.0420092	nan	0.0352115	nan	nan	0.0362568	0.0395235	nan	0.0388852	0.028124	0.0226366	nan	nan	nan	nan	nan	nan	0.0336447	0.038863	0.0361788
b10	MP,JJ,XR,PW,KY,LV,TB,LF	nan	0	nan	0	nan	0	0	nan	nan	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
b11	KM	nan	0.10554	nan	0.0478379	nan	0.0488567	0.0561844	nan	nan	0.0624598	nan	nan	nan	0.048863	0.0505563	0.051809	0.0518663	0.0519396	0.0643399	nan	nan	nan
b12	TBS,LFS,LVS,KYS,XRD	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b13	PWX,MPX,BWL,KUM	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b14	XR,PW,KY,LV,TB,LF	nan	0	nan	0	nan	0	0	nan	nan	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
b15	MP,JJ	nan	0	nan	0	nan	0	0	nan	nan	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
b16	LFS,LVS,KYS,XRD	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b17	TBS	nan	nan	0.127947	nan	0.114859	nan	nan	0.127156	0.119773	nan	0.145685	0.108325	0.0707744	nan	nan	nan	nan	nan	nan	0.138895	0.141699	0.130354
b18	MPX,BWL,KUM	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b19	PWX	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b20	KY,LV,TB,LF	nan	0	nan	0	nan	0	0	nan	nan	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
b21	XR,PW	nan	0.0226104	nan	0.0100848	nan	0.0130528	0.0121636	nan	nan	0.0151565	nan	nan	nan	0	0	0	0	0.0105231	0.012127	nan	nan	nan
b22	MP	nan	0	nan	0	nan	0	0	nan	nan	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
b23	JJ	nan	0.0792472	nan	0.0526928	nan	0.0514526	0.052233	nan	nan	0.0628349	nan	nan	nan	0.0525484	0.0524928	0.0565058	0.0541353	0.0471987	0.0483	nan	nan	nan
b24	LFS,LVS	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b25	KYS,XRD	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b26	BWL,KUM	nan	nan	0	nan	0	nan	nan	0	0	nan	0	0	0	nan	nan	nan	nan	nan	nan	0	0	0
b27	MPX	nan	nan	0.0547991	nan	0.0406385	nan	nan	0.0559111	0.0538515	nan	0.0677322	0.0515963	0.0328364	nan	nan	nan	nan	nan	nan	0.0665246	0.0596083	0.0625986
b28	KY	nan	0.0292392	nan	0	nan	0	0	nan	nan	0	nan	nan	nan	0	0	0	0	0	0	nan	nan	nan
