chr	pos	num_overlap	num_outliers	ratio
Hic_asm_0	50000	8	14	0.571428571428571
Hic_asm_0	60000	11	17	0.647058823529412
Hic_asm_0	70000	17	23	0.739130434782609
Hic_asm_0	80000	18	24	0.75
Hic_asm_0	90000	23	27	0.851851851851852
Hic_asm_0	1e+05	23	29	0.793103448275862
Hic_asm_0	110000	23	33	0.696969696969697
Hic_asm_0	120000	19	33	0.575757575757576
Hic_asm_0	130000	19	33	0.575757575757576
Hic_asm_0	140000	22	34	0.647058823529412
Hic_asm_0	150000	24	34	0.705882352941177
Hic_asm_0	160000	22	32	0.6875
Hic_asm_0	170000	20	30	0.666666666666667
Hic_asm_0	180000	22	32	0.6875
Hic_asm_0	190000	18	28	0.642857142857143
Hic_asm_0	2e+05	18	26	0.692307692307692
Hic_asm_0	210000	18	23	0.782608695652174
Hic_asm_0	220000	22	23	0.956521739130435
Hic_asm_0	230000	24	25	0.96
Hic_asm_0	240000	28	29	0.96551724137931
Hic_asm_0	250000	26	30	0.866666666666667
Hic_asm_0	260000	25	30	0.833333333333333
Hic_asm_0	270000	21	26	0.807692307692308
Hic_asm_0	280000	18	23	0.782608695652174
Hic_asm_0	290000	17	23	0.739130434782609
Hic_asm_0	3e+05	17	26	0.653846153846154
Hic_asm_0	310000	17	26	0.653846153846154
Hic_asm_0	320000	18	27	0.666666666666667
Hic_asm_0	330000	20	29	0.689655172413793
Hic_asm_0	340000	20	29	0.689655172413793
Hic_asm_0	350000	21	27	0.777777777777778
Hic_asm_0	360000	21	28	0.75
Hic_asm_0	370000	21	29	0.724137931034483
Hic_asm_0	380000	21	34	0.617647058823529
Hic_asm_0	390000	21	37	0.567567567567568
Hic_asm_0	4e+05	21	36	0.583333333333333
Hic_asm_0	410000	21	36	0.583333333333333
Hic_asm_0	420000	16	32	0.5
Hic_asm_0	430000	8	26	0.307692307692308
Hic_asm_0	440000	1	20	0.05
Hic_asm_0	450000	0	24	0
Hic_asm_0	460000	0	26	0
Hic_asm_0	470000	5	30	0.166666666666667
Hic_asm_0	480000	5	28	0.178571428571429
Hic_asm_0	490000	5	24	0.208333333333333
Hic_asm_0	5e+05	5	26	0.192307692307692
